uri	rel	start	end	start_en	end_en	label
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/変わり者	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/スポ	/c/en/baseball	/c/en/sport	4
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/戯れ	/c/en/baseball	/c/en/sport	3
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/戯る	/c/en/baseball	/c/en/sport	3
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/巫山戯	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/変り者	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/変りもの	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/スポーツ	/c/en/baseball	/c/en/sport	1
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/ベースボール	/c/ja/スポ	/c/en/baseball	/c/en/sport	2
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/スポーツ	/c/en/baseball	/c/en/sport	1
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/変りもの	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/変り者	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/変わり者	/c/en/baseball	/c/en/sport	5
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/巫山戯	/c/en/baseball	/c/en/sport	4
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/戯る	/c/en/baseball	/c/en/sport	2
/a/[/r/IsA/,/c/en/baseball/,/c/en/sport/]	/r/IsA	/c/ja/野球	/c/ja/戯れ	/c/en/baseball	/c/en/sport	3
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/勝負事	/c/en/polo	/c/en/game	2
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/ゲーム	/c/en/polo	/c/en/game	2
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/一戦	/c/en/polo	/c/en/game	2
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/仕合	/c/en/polo	/c/en/game	2
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/勝負	/c/en/polo	/c/en/game	3
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/一番	/c/en/polo	/c/en/game	4
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/収獲	/c/en/polo	/c/en/game	5
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/競技	/c/en/polo	/c/en/game	1
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/回戦	/c/en/polo	/c/en/game	4
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/局	/c/en/polo	/c/en/game	4
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/御前試合	/c/en/polo	/c/en/game	3
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/遊戯	/c/en/polo	/c/en/game	2
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/遊び事	/c/en/polo	/c/en/game	3
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/手合わせ	/c/en/polo	/c/en/game	3
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/本番	/c/en/polo	/c/en/game	5
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/猟	/c/en/polo	/c/en/game	5
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/獲物	/c/en/polo	/c/en/game	5
/a/[/r/IsA/,/c/en/polo/,/c/en/game/]	/r/IsA	/c/ja/ポロ	/c/ja/試合	/c/en/polo	/c/en/game	2
/a/[/r/RelatedTo/,/c/en/wool/,/c/en/sheep/]	/r/RelatedTo	/c/ja/羊	/c/ja/羊毛	/c/en/sheep	/c/en/wool	1
/a/[/r/RelatedTo/,/c/en/wool/,/c/en/sheep/]	/r/RelatedTo	/c/ja/綿羊	/c/ja/羊毛	/c/en/sheep	/c/en/wool	2
/a/[/r/RelatedTo/,/c/en/wool/,/c/en/sheep/]	/r/RelatedTo	/c/ja/シープ	/c/ja/羊毛	/c/en/sheep	/c/en/wool	1
/a/[/r/RelatedTo/,/c/en/wool/,/c/en/sheep/]	/r/RelatedTo	/c/ja/緬羊	/c/ja/羊毛	/c/en/sheep	/c/en/wool	3
