# 2017/04/11
rel	surfaceText	freq
/r/Antonym	[[start]] is the opposite of [[end]]	4556
/r/AtLocation	You are likely to find [[start]] in [[end]]	11391
/r/AtLocation	Something you find in [[end]] is [[start]]	2250
/r/AtLocation	Something you find at [[end]] is [[start]]	2228
/r/AtLocation	Something you find on [[end]] is [[start]]	765
/r/AtLocation	You are likely to find [[start]] in [[end]].	456
/r/AtLocation	Somewhere [[start]] can be is in [[end]]	255
/r/AtLocation	Something you find under [[end]] is [[start]]	183
/r/AtLocation	Somewhere [[start]] can be is on [[end]]	96
/r/AtLocation	Somewhere [[start]] can be is [[end]]	33
/r/AtLocation	You are likely to find [[start]] on [[end]]	15
/r/AtLocation	In [[end]], you can [[start]]	7
/r/AtLocation	You are likely to find [[start]] at [[end]]	6
/r/AtLocation	[[start]] can be at [[end]]	4
/r/AtLocation	Something you find in [[end]] is [[start]]]	1
/r/AtLocation	You are likely to find [[start]] near [[end]]	1
/r/CapableOf	[[start]] can [[end]]	8958
/r/CapableOf	An activity [[start]] can do is [[end]]	426
/r/CapableOf	[[start]] can [[end]].	233
/r/CapableOf	[[start]] may [[end]]	160
/r/CapableOf	[[start]] often [[end]]	25
/r/CapableOf	[[start]] sometimes [[end]]	9
/r/Causes	Sometimes [[start]] causes [[end]]	128
/r/Causes	The effect of [[start]] is [[end]].	121
/r/Causes	Something that might happen as a consequence of [[start]] is [[end]]	47
/r/Causes	The effect of [[start]] is [[end]]	5
/r/Causes	Sometimes [[start]] causes you to [[end]]	2
/r/CausesDesire	[[start]] would make you want to [[end]]	1800
/r/CreatedBy	[[start]] is created by [[end]].	136
/r/DefinedAs	[[start]] is the [[end]]	1286
/r/DefinedAs	[[start]] is the [[end]].	131
/r/DefinedAs	[[start]] can be defined as [[end]]	7
/r/Desires	[[start]] wants [[end]]	937
/r/Desires	[[start]] wants to [[end]]	606
/r/Desires	[[start]] like to [[end]]	19
/r/DistinctFrom	[[start]] is not [[end]]	1921
/r/HasA	[[start]] has [[end]]	820
/r/HasA	[[start]] contains [[end]]	212
/r/HasA	[[start]] have [[end]]	104
/r/HasFirstSubevent	The first thing you do when you [[start]] is [[end]]	1539
/r/HasLastSubevent	The last thing you do when you [[start]] is [[end]]	1426
