# 2017/04/11
rel	surfaceText	freq
/r/AtLocation	[[end]]に行くと[[start]]を見ることができる．	7029
/r/AtLocation	[[start]]は[[end]]にある．	2371
/r/AtLocation	[[start]]は[[end]]にいる．	1411
/r/CapableOf	[[start]]は[[end]]能力を持っている．	842
/r/CapableOf	[[start]]ができることの一つに[[end]]がある．	548
/r/CapableOf	[[start]]は[[end]]ことができる．	459
/r/CapableOf	[[start]]の能力の一つに[[end]]がある．	339
/r/Causes	[[end]]の原因には[[start]]がある．	651
/r/Causes	[[start]]による影響の一つに[[end]]がある．	385
/r/Causes	[[start]]の結果に[[end]]がある．	301
/r/Causes	[[start]]はあなたを[[end]]気持ちにさせる．	124
/r/Causes	[[start]]による影響で[[end]]．	114
/r/Causes	[[start]]が原因で[[end]]ことがある．	86
/r/Causes	[[start]]の結果，[[end]]ことがある．	45
/r/CausesDesire	[[start]]はあなたが[[end]]ことをやる気にさせる．	580
/r/DefinedAs	[[start]]とは[[end]]のことである．	75
/r/Desires	[[start]]は[[end]]を望む．	612
/r/Desires	[[start]]は[[end]]ことを望む．	92
/r/Desires	[[start]]は[[end]]を欲する．	70
/r/Desires	[[start]]は[[end]]ことを欲する．	36
/r/Desires	[[start]]は[[end]]が欲しい．	31
/r/HasA	[[start]]は[[end]]を持っている。	1
/r/HasFirstSubevent	あなたが[[start]]の際に最初にすることは[[end]]である．	159
/r/HasFirstSubevent	あなたが[[start]]ときに最初にすることは[[end]]ことである．	125
/r/HasLastSubevent	あなたが[[start]]の際に最後にすることは[[end]]である．	207
/r/HasLastSubevent	あなたが[[start]]ときに最後にすることは[[end]]ことである．	101
/r/HasPrerequisite	あなたが[[start]]ときに，それより先にすることは[[end]]ことである．	224
/r/HasPrerequisite	あなたが[[start]]のときに，それより先にすることは[[end]]である．	123
/r/HasProperty	[[start]]は[[end]]という特徴がある．	1346
/r/HasSubevent	あなたは[[start]]のときに[[end]]ことがある．	467
/r/HasSubevent	あなたは[[start]]中に[[end]]ことがある．	407
/r/HasSubevent	あなたは[[start]]の際に[[end]]ことがある．	358
/r/HasSubevent	あなたが[[start]]ときにすることの一つは[[end]]ことである．	245
/r/HasSubevent	あなたが[[start]]の際にすることの一つは[[end]]である．	241
/r/HasSubevent	[[start]]のときに，[[end]]ことがある．	225
/r/HasSubevent	[[start]]の際に，[[end]]ことがある．	148
/r/HasSubevent	[[start]]中に，[[end]]ことがある．	114
/r/HasSubevent	あなたは[[start]]の際に[[end]]気持ちになることがある．	79
/r/HasSubevent	[[start]]ときに，[[end]]ことがある．	26
/r/HasSubevent	[[start]]を行っている最中、[[end]]が起きることが普通である。	1
/r/InstanceOf	[[start]]は[[end]]の具体例である．	451
/r/InstanceOf	[[start]]は[[end]]の一例である．	422
/r/IsA	[[start]]は[[end]]の一種である．	7728
/r/MadeOf	[[start]]は[[end]]から作られる．	444
/r/MadeOf	[[start]]は[[end]]でできている．	404
/r/MotivatedByGoal	あなたは[[end]]ために[[start]]必要がある．	710
/r/MotivatedByGoal	あなたは[[end]]ために[[start]]ことがある．	550
/r/MotivatedByGoal	あなたは[[end]]のために[[start]]ことがある．	398
/r/MotivatedByGoal	もし[[end]]ことを望むなら，あなたは[[start]]べきである．	381
/r/MotivatedByGoal	あなたは[[end]]のために[[start]]必要がある．	334
/r/NotDesires	[[start]]は[[end]]ことを欲さない．	291
/r/NotDesires	[[start]]は[[end]]を欲さない．	227
/r/NotDesires	[[start]]は[[end]]を望まない．	72
/r/NotDesires	[[start]]は[[end]]ことを望まない．	35
/r/PartOf	[[start]]は[[end]]の一部である．	6236
/r/PartOf	[[start]]は[[end]]の一部である。	1
/r/RelatedTo	[[start]]から[[end]]を連想することがある．	10375
/r/RelatedTo	[[start]]と[[end]]は同時に見かける場合が多い．	274
/r/RelatedTo	[[start]]は[[end]]は何かしらの関係を持っている。	5
/r/SymbolOf	[[start]]はあなたに[[end]]を想像させる．	554
/r/SymbolOf	[[start]]は[[end]]の象徴である．	158
/r/SymbolOf	[[start]]は[[end]]のたとえとして用いられる．	35
/r/UsedFor	[[start]]は[[end]]のために使う物である．	800
/r/UsedFor	[[start]]はあなたが[[end]]ために使う物である．	704
/r/UsedFor	[[start]]は[[end]]ために利用することができる．	179
/r/UsedFor	[[start]]は[[end]]のために利用することができる．	132
/r/Antonym	[[start]]は[[end]]の反義語である	0
/r/DistinctFrom	[[start]]は[[end]]ではない	0
/r/Synonym	[[start]]は[[end]]の類義語である	0
/r/EtymologicallyRelatedTo	[[start]]は[[end]]と語源的な関係を持っている	0
/r/LocatedNear	[[start]]は通常[[end]]の近くにある	0
/r/SimilarTo	[[start]]は[[end]]に似ている	0
/r/CreatedBy	[[start]]は[[end]]によって作られる	0
/r/DerivedFrom	[[start]]は[[end]]に由来する	0
/r/Entails	[[start]]は[[end]]を含意する	0
/r/ExternalURL	[[start]]は[[end]]にリンクがある	0
/r/FormOf	[[start]]は[[end]]の形態である	0
/r/HasContext	[[start]]は[[end]]という文脈を持っている	0
/r/MannerOf	[[start]]は[[end]]するための方法である	0
/r/ObstructedBy	[[start]]は[[end]]によって防がれる	0
/r/ReceivesAction	[[start]]は[[end]]される	0
/r/SenseOf	[[start]]は[[end]]の意味である	0
