uri	rel	start	end	start_en	end_en	meta
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/仙鼠	/c/zh/坐飞机	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/仙鼠	/c/zh/飞	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/夜燕	/c/zh/坐飞机	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/夜燕	/c/zh/飞	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/服翼	/c/zh/坐飞机	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/服翼	/c/zh/飞	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/球拍	/c/zh/坐飞机	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/球拍	/c/zh/飞	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/球棒	/c/zh/坐飞机	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
/a/[/r/CapableOf/,/c/en/bat/,/c/en/fly/]	/r/CapableOf	/c/zh/球棒	/c/zh/飞	/c/en/bat	/c/en/fly	"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/template"", ""contributor"": ""/s/contributor/omcs/jks""}], ""surfaceEnd"": ""fly"", ""surfaceStart"": ""a bat"", ""surfaceText"": ""An activity [[a bat]] can do is [[fly]]"", ""weight"": 1.0}"
